,k,accuracy,model,epoch
150,4,97.96,hopfield,50
151,4,98.11,hopfield,51
152,4,98.26,hopfield,52
153,4,98.07,hopfield,53
154,4,98.07,hopfield,54
155,4,98.22,hopfield,55
156,4,98.22,hopfield,56
157,4,98.1,hopfield,57
158,4,98.21,hopfield,58
159,4,97.99,hopfield,59
160,4,98.23,hopfield,60
161,4,97.88,hopfield,61
162,4,98.11,hopfield,62
163,4,98.29,hopfield,63
164,4,98.16,hopfield,64
165,4,97.87,hopfield,65
166,4,98.1,hopfield,66
167,4,98.04,hopfield,67
168,4,98.08,hopfield,68
169,4,98.26,hopfield,69
170,4,97.88,hopfield,70
171,4,98.15,hopfield,71
172,4,98.14,hopfield,72
173,4,98.09,hopfield,73
174,4,98.24,hopfield,74
175,4,98.19,hopfield,75
176,4,97.95,hopfield,76
177,4,98.01,hopfield,77
178,4,97.92,hopfield,78
179,4,98.18,hopfield,79
180,4,98.0,hopfield,80
181,4,98.11,hopfield,81
182,4,98.38,hopfield,82
183,4,98.5,hopfield,83
184,4,98.48,hopfield,84
185,4,98.51,hopfield,85
186,4,98.53,hopfield,86
187,4,98.53,hopfield,87
188,4,98.52,hopfield,88
189,4,98.54,hopfield,89
190,4,98.54,hopfield,90
191,4,98.54,hopfield,91
192,4,98.55,hopfield,92
193,4,98.56,hopfield,93
194,4,98.56,hopfield,94
195,4,98.55,hopfield,95
196,4,98.55,hopfield,96
197,4,98.55,hopfield,97
198,4,98.56,hopfield,98
199,4,98.56,hopfield,99
200,8,94.96,hopfield,0
201,8,96.18,hopfield,1
202,8,97.12,hopfield,2
203,8,97.04,hopfield,3
204,8,97.05,hopfield,4
205,8,97.21,hopfield,5
206,8,97.2,hopfield,6
207,8,97.63,hopfield,7
208,8,97.4,hopfield,8
209,8,97.87,hopfield,9
210,8,97.81,hopfield,10
211,8,97.71,hopfield,11
212,8,97.58,hopfield,12
213,8,97.99,hopfield,13
214,8,97.46,hopfield,14
215,8,97.86,hopfield,15
216,8,97.85,hopfield,16
217,8,97.71,hopfield,17
218,8,97.96,hopfield,18
219,8,97.53,hopfield,19
220,8,97.67,hopfield,20
221,8,97.99,hopfield,21
222,8,97.38,hopfield,22
223,8,97.9,hopfield,23
224,8,97.55,hopfield,24
225,8,97.82,hopfield,25
226,8,98.13,hopfield,26
227,8,98.0,hopfield,27
228,8,97.97,hopfield,28
229,8,97.75,hopfield,29
230,8,97.55,hopfield,30
231,8,98.2,hopfield,31
232,8,98.12,hopfield,32
233,8,98.24,hopfield,33
234,8,97.77,hopfield,34
235,8,98.08,hopfield,35
236,8,97.93,hopfield,36
237,8,98.09,hopfield,37
238,8,98.15,hopfield,38
239,8,98.04,hopfield,39
240,8,97.92,hopfield,40
241,8,97.96,hopfield,41
242,8,98.03,hopfield,42
243,8,98.19,hopfield,43
244,8,97.97,hopfield,44
245,8,97.97,hopfield,45
246,8,98.12,hopfield,46
247,8,98.03,hopfield,47
248,8,98.32,hopfield,48
249,8,97.86,hopfield,49
250,8,97.87,hopfield,50
251,8,98.23,hopfield,51
252,8,97.92,hopfield,52
253,8,98.18,hopfield,53
254,8,97.99,hopfield,54
255,8,98.2,hopfield,55
256,8,97.98,hopfield,56
257,8,98.09,hopfield,57
258,8,98.07,hopfield,58
259,8,98.19,hopfield,59
260,8,98.23,hopfield,60
261,8,98.08,hopfield,61
262,8,98.16,hopfield,62
263,8,97.49,hopfield,63
264,8,98.11,hopfield,64
265,8,98.27,hopfield,65
266,8,98.3,hopfield,66
267,8,97.45,hopfield,67
268,8,98.16,hopfield,68
269,8,98.42,hopfield,69
270,8,98.41,hopfield,70
271,8,98.41,hopfield,71
272,8,98.36,hopfield,72
273,8,98.48,hopfield,73
274,8,98.48,hopfield,74
275,8,98.49,hopfield,75
276,8,98.49,hopfield,76
277,8,98.49,hopfield,77
278,8,98.53,hopfield,78
279,8,98.55,hopfield,79
280,8,98.55,hopfield,80
281,8,98.55,hopfield,81
282,8,98.54,hopfield,82
283,8,98.55,hopfield,83
284,8,98.55,hopfield,84
285,8,98.55,hopfield,85
286,8,98.54,hopfield,86
287,8,98.54,hopfield,87
288,8,98.55,hopfield,88
289,8,98.55,hopfield,89
290,8,98.56,hopfield,90
291,8,98.56,hopfield,91
292,8,98.56,hopfield,92
293,8,98.55,hopfield,93
294,8,98.56,hopfield,94
295,8,98.56,hopfield,95
296,8,98.56,hopfield,96
297,8,98.56,hopfield,97
298,8,98.56,hopfield,98
299,8,98.56,hopfield,99
300,16,96.16,hopfield,0
301,16,96.86,hopfield,1
302,16,97.31,hopfield,2
303,16,97.35,hopfield,3
304,16,97.05,hopfield,4
305,16,97.03,hopfield,5
306,16,97.7,hopfield,6
307,16,97.41,hopfield,7
308,16,97.68,hopfield,8
309,16,97.67,hopfield,9
310,16,97.57,hopfield,10
311,16,97.71,hopfield,11
312,16,97.78,hopfield,12
313,16,97.53,hopfield,13
314,16,97.63,hopfield,14
315,16,97.89,hopfield,15
316,16,97.95,hopfield,16
317,16,97.92,hopfield,17
318,16,97.83,hopfield,18
319,16,98.1,hopfield,19
320,16,97.82,hopfield,20
321,16,97.57,hopfield,21
322,16,98.03,hopfield,22
323,16,98.14,hopfield,23
324,16,98.12,hopfield,24
325,16,97.93,hopfield,25
326,16,97.77,hopfield,26
327,16,97.92,hopfield,27
328,16,98.16,hopfield,28
329,16,97.93,hopfield,29
330,16,97.97,hopfield,30
331,16,97.79,hopfield,31
332,16,98.12,hopfield,32
333,16,98.23,hopfield,33
334,16,98.01,hopfield,34
335,16,97.71,hopfield,35
336,16,97.81,hopfield,36
337,16,97.9,hopfield,37
338,16,98.24,hopfield,38
339,16,98.27,hopfield,39
340,16,98.57,hopfield,40
341,16,98.45,hopfield,41
342,16,98.5,hopfield,42
343,16,98.52,hopfield,43
344,16,98.53,hopfield,44
345,16,98.53,hopfield,45
346,16,98.56,hopfield,46
347,16,98.57,hopfield,47
348,16,98.59,hopfield,48
349,16,98.61,hopfield,49
350,16,98.61,hopfield,50
351,16,98.6,hopfield,51
352,16,98.6,hopfield,52
353,16,98.59,hopfield,53
354,16,98.61,hopfield,54
355,16,98.61,hopfield,55
356,16,98.6,hopfield,56
357,16,98.62,hopfield,57
358,16,98.65,hopfield,58
359,16,98.65,hopfield,59
360,16,98.64,hopfield,60
361,16,98.64,hopfield,61
362,16,98.64,hopfield,62
363,16,98.64,hopfield,63
364,16,98.64,hopfield,64
365,16,98.63,hopfield,65
366,16,98.64,hopfield,66
367,16,98.64,hopfield,67
368,16,98.64,hopfield,68
369,16,98.64,hopfield,69
370,16,98.64,hopfield,70
371,16,98.62,hopfield,71
372,16,98.64,hopfield,72
373,16,98.65,hopfield,73
374,16,98.63,hopfield,74
375,16,98.64,hopfield,75
376,16,98.62,hopfield,76
377,16,98.63,hopfield,77
378,16,98.63,hopfield,78
379,16,98.63,hopfield,79
380,16,98.64,hopfield,80
381,16,98.64,hopfield,81
382,16,98.65,hopfield,82
383,16,98.64,hopfield,83
384,16,98.65,hopfield,84
385,16,98.65,hopfield,85
386,16,98.65,hopfield,86
387,16,98.65,hopfield,87
388,16,98.65,hopfield,88
389,16,98.65,hopfield,89
390,16,98.64,hopfield,90
391,16,98.64,hopfield,91
392,16,98.65,hopfield,92
393,16,98.65,hopfield,93
394,16,98.65,hopfield,94
395,16,98.64,hopfield,95
396,16,98.63,hopfield,96
397,16,98.63,hopfield,97
398,16,98.63,hopfield,98
399,16,98.63,hopfield,99
